# Separation [Bohr],Interaction energy [Hartree]
1.889726124565061838e+01,-1.042468227296922123e-07
1.851549839220313132e+01,-1.171135295408021193e-07
1.813373553875564070e+01,-1.318817623996437760e-07
1.775197268530815720e+01,-1.488670875460229581e-07
1.737020983186067014e+01,-1.684572907834080979e-07
1.698844697841318307e+01,-1.911196818582538981e-07
1.660668412496569246e+01,-2.174132021082186839e-07
1.622492127151820895e+01,-2.480152261341572739e-07
1.584315841807072012e+01,-2.837444412762124557e-07
1.546139556462323306e+01,-3.255983926919725491e-07
1.507963271117574422e+01,-3.747857419966749148e-07
1.469786985772825894e+01,-4.328075249304674799e-07
1.431610700428077187e+01,-5.015018871290521929e-07
1.393434415083328481e+01,-5.831436737935291603e-07
1.355258129738579598e+01,-6.805916257235367084e-07
1.317081844393831069e+01,-7.973458764354290906e-07
1.278905559049082363e+01,-9.378866820952680428e-07
1.240729273704333480e+01,-1.107770941644048435e-06
1.202552988359584774e+01,-1.314128496687771985e-06
1.164376703014836067e+01,-1.566072427294784575e-06
1.126200417670087361e+01,-1.875144533869388397e-06
1.088024132325338655e+01,-2.256491683283456950e-06
1.049847846980589949e+01,-2.729516637600681861e-06
1.011671561635841243e+01,-3.319674362955993274e-06
9.734952762910923596e+00,-4.060387823301425669e-06
9.353189909463438312e+00,-4.996028849291178631e-06
8.971427056015949475e+00,-6.185454139995272271e-06
8.589664202568464191e+00,-7.707697051273498801e-06
8.207901349120975354e+00,-9.669320576222162344e-06
7.826138495673489182e+00,-1.221491919523032266e-05
7.444375642226001233e+00,-1.554201648445996398e-05
7.062612788778515061e+00,-1.992067382161621936e-05
6.680849935331027112e+00,-2.572074743056873558e-05
6.299087081883539163e+00,-3.343962688973078912e-05
5.917324228436052991e+00,-4.372162865706741286e-05
5.535561374988564154e+00,-5.732270562930352753e-05
5.153798521541077982e+00,-7.490911366403452121e-05
4.772035668093590033e+00,-9.647421657632548886e-05
4.390272814646103861e+00,-1.199776531564111792e-04
4.008509961198615912e+00,-1.386912059899714222e-04
3.626747107751127963e+00,-1.368375718868719559e-04
3.244984254303643123e+00,-8.393208568691079563e-05
2.863221400856155174e+00,6.982631037999453838e-05
2.481458547408667226e+00,3.917122876089251804e-04
2.099695693961179277e+00,9.507858926838252955e-04
1.717932840513694437e+00,1.783929756896895924e-03
1.336169987066206488e+00,2.851116132319475582e-03
9.544071336187183174e-01,4.004358457422085849e-03
5.726442801712303687e-01,5.002564255420338668e-03
1.908814267237423368e-01,5.586440540099602003e-03
-1.908814267237423368e-01,5.586440540071180294e-03
-5.726442801712303687e-01,5.002564255391916959e-03
-9.544071336187183174e-01,4.004358457450507558e-03
-1.336169987066206488e+00,2.851116132490005839e-03
-1.717932840513691106e+00,1.783929756840052505e-03
-2.099695693961179277e+00,9.507858926838252955e-04
-2.481458547408667226e+00,3.917122875236600521e-04
-2.863221400856155174e+00,6.982631035157282895e-05
-3.244984254303639570e+00,-8.393208565848908620e-05
-3.626747107751127963e+00,-1.368375718868719559e-04
-4.008509961198615912e+00,-1.386912060183931317e-04
-4.390272814646103861e+00,-1.199776532132545981e-04
-4.772035668093588257e+00,-9.647421660474719829e-05
-5.153798521541076205e+00,-7.490911366403452121e-05
-5.535561374988564154e+00,-5.732270571456865582e-05
-5.917324228436052991e+00,-4.372162871391083172e-05
-6.299087081883540939e+00,-3.343962686130907969e-05
-6.680849935331025335e+00,-2.572074754425557330e-05
-7.062612788778513284e+00,-1.992067382161621936e-05
-7.444375642226001233e+00,-1.554201654130338284e-05
-7.826138495673489182e+00,-1.221491916680861323e-05
-8.207901349120973578e+00,-9.669320519378743484e-06
-8.589664202568462414e+00,-7.707697051273498801e-06
-8.971427056015949475e+00,-6.185454139995272271e-06
-9.353189909463438312e+00,-4.996028877712888061e-06
-9.734952762910921820e+00,-4.060387794879716239e-06
-1.011671561635841066e+01,-3.319674476642830996e-06
-1.049847846980589949e+01,-2.729516666022391291e-06
-1.088024132325338655e+01,-2.256491740126875811e-06
-1.126200417670087184e+01,-1.875144562291097827e-06
-1.164376703014836245e+01,-1.566072455716494005e-06
-1.202552988359584774e+01,-1.314128411422643694e-06
-1.240729273704333124e+01,-1.107770913222339004e-06
-1.278905559049082363e+01,-9.378866820952680428e-07
-1.317081844393830892e+01,-7.973458195920102298e-07
-1.355258129738579953e+01,-6.805915688801178476e-07
-1.393434415083328481e+01,-5.831435601066914387e-07
-1.431610700428076832e+01,-5.015018871290521929e-07
-1.469786985772826071e+01,-4.328074965087580495e-07
-1.507963271117574422e+01,-3.747857419966749148e-07
-1.546139556462322950e+01,-3.255984495353914099e-07
-1.584315841807072012e+01,-2.837444412762124557e-07
-1.622492127151820540e+01,-2.480153113992855651e-07
-1.660668412496569601e+01,-2.174132021082186839e-07
-1.698844697841318307e+01,-1.911196818582538981e-07
-1.737020983186066658e+01,-1.684573192051175283e-07
-1.775197268530815720e+01,-1.488670307026040973e-07
-1.813373553875564070e+01,-1.318817908213532064e-07
-1.851549839220313487e+01,-1.171135011190926889e-07
-1.889726124565061838e+01,-1.042467090428544907e-07
