# Separation [Bohr],Interaction energy [Hartree]
1.889726124565061838e+01,-1.042428436903719557e-07
1.851549839220313132e+01,-1.171119947684928775e-07
1.813373553875564070e+01,-1.318763622748519992e-07
1.775197268530815720e+01,-1.488604368660162436e-07
1.737020983186067014e+01,-1.684512938027182827e-07
1.698844697841318307e+01,-1.911136280341452220e-07
1.660668412496569246e+01,-2.174072903926571598e-07
1.622492127151820895e+01,-2.480074670074827736e-07
1.584315841807072012e+01,-2.837331294358591549e-07
1.546139556462323306e+01,-3.255806575452879770e-07
1.507963271117574422e+01,-3.747673247289640130e-07
1.469786985772825894e+01,-4.327869476128398674e-07
1.431610700428077187e+01,-5.014805424252699595e-07
1.393434415083328481e+01,-5.831254270560748409e-07
1.355258129738579598e+01,-6.805533701026433846e-07
1.317081844393831069e+01,-7.973028175456420286e-07
1.278905559049082363e+01,-9.378176457630615914e-07
1.240729273704333480e+01,-1.107698921032351791e-06
1.202552988359584774e+01,-1.314059659307531547e-06
1.164376703014836067e+01,-1.565969114381005056e-06
1.126200417670087361e+01,-1.875062253020587377e-06
1.088024132325338655e+01,-2.256354463270326960e-06
1.049847846980589949e+01,-2.729333232309727464e-06
1.011671561635841243e+01,-3.319454464190130238e-06
9.734952762910923596e+00,-4.060175257336595678e-06
9.353189909463438312e+00,-4.995755602976714727e-06
8.971427056015949475e+00,-6.185131638858365477e-06
8.589664202568464191e+00,-7.707306338033959037e-06
8.207901349120975354e+00,-9.668839737742018769e-06
7.826138495673489182e+00,-1.221440172116672329e-05
7.444375642226001233e+00,-1.554140391135661048e-05
7.062612788778515061e+00,-1.992016700569365639e-05
6.680849935331027112e+00,-2.572013053736554866e-05
6.299087081883539163e+00,-3.343917799725204532e-05
5.917324228436052991e+00,-4.372218805315242207e-05
5.535561374988564154e+00,-5.732446592787709960e-05
5.153798521541077982e+00,-7.491328364039873122e-05
4.772035668093590033e+00,-9.648199264233880967e-05
4.390272814646103861e+00,-1.199915762697401078e-04
4.008509961198615912e+00,-1.387137868675836216e-04
3.626747107751127963e+00,-1.368725716304197704e-04
3.244984254303643123e+00,-8.397820326422333892e-05
2.863221400856155174e+00,6.977643081995665852e-05
2.481458547408667226e+00,3.916888070136792521e-04
2.099695693961179277e+00,9.508503718507199665e-04
1.717932840513694437e+00,1.784186780895424818e-03
1.336169987066206488e+00,2.851709271823210656e-03
9.544071336187183174e-01,4.005412059598256747e-03
5.726442801712303687e-01,5.004088881833013147e-03
1.908814267237423368e-01,5.588282795969234940e-03
-1.908814267237423368e-01,5.588282795912391521e-03
-5.726442801712303687e-01,5.004088881833013147e-03
-9.544071336187183174e-01,4.005412059711943584e-03
-1.336169987066206488e+00,2.851709271851632366e-03
-1.717932840513691106e+00,1.784186780895424818e-03
-2.099695693961179277e+00,9.508503718507199665e-04
-2.481458547408667226e+00,3.916888069568358333e-04
-2.863221400856155174e+00,6.977643079153494909e-05
-3.244984254303639570e+00,-8.397820317895821063e-05
-3.626747107751127963e+00,-1.368725717156848987e-04
-4.008509961198615912e+00,-1.387137867254750745e-04
-4.390272814646103861e+00,-1.199915762697401078e-04
-4.772035668093588257e+00,-9.648200156675557082e-05
-5.153798521541076205e+00,-7.491327627917598875e-05
-5.535561374988564154e+00,-5.732446587103368074e-05
-5.917324228436052991e+00,-4.372219294168644410e-05
-6.299087081883540939e+00,-3.343917424558640050e-05
-6.680849935331025335e+00,-2.572013045210042037e-05
-7.062612788778513284e+00,-1.992017001839485602e-05
-7.444375642226001233e+00,-1.554140519033353485e-05
-7.826138495673489182e+00,-1.221440177801014215e-05
-8.207901349120973578e+00,-9.668840476706463960e-06
-8.589664202568462414e+00,-7.707305627491223277e-06
-8.971427056015949475e+00,-6.185131724123493768e-06
-9.353189909463438312e+00,-4.995755659820133587e-06
-9.734952762910921820e+00,-4.060175285758305108e-06
-1.011671561635841066e+01,-3.319454521033549099e-06
-1.049847846980589949e+01,-2.729333345996565185e-06
-1.088024132325338655e+01,-2.256354520113745821e-06
-1.126200417670087184e+01,-1.875062224598877947e-06
-1.164376703014836245e+01,-1.565969085959295626e-06
-1.202552988359584774e+01,-1.314059659307531547e-06
-1.240729273704333124e+01,-1.107698778923804639e-06
-1.278905559049082363e+01,-9.378176457630615914e-07
-1.317081844393830892e+01,-7.973027891239325982e-07
-1.355258129738579953e+01,-6.805532848375150934e-07
-1.393434415083328481e+01,-5.831254554777842714e-07
-1.431610700428076832e+01,-5.014806276903982507e-07
-1.469786985772826071e+01,-4.327869760345492978e-07
-1.507963271117574422e+01,-3.747673247289640130e-07
-1.546139556462322950e+01,-3.255807143887068378e-07
-1.584315841807072012e+01,-2.837331010141497245e-07
-1.622492127151820540e+01,-2.480074385857733432e-07
-1.660668412496569601e+01,-2.174073188143665902e-07
-1.698844697841318307e+01,-1.911136848775640829e-07
-1.737020983186066658e+01,-1.684512369592994219e-07
-1.775197268530815720e+01,-1.488603800225973828e-07
-1.813373553875564070e+01,-1.318763054314331384e-07
-1.851549839220313487e+01,-1.171119379250740167e-07
-1.889726124565061838e+01,-1.042428721120813861e-07
