# Separation [Bohr],Interaction energy [Hartree]
5.000000000000000000e-01,-7.228072353484549240e-04
4.815789473684211064e-01,-8.068985557656560559e-04
4.631578947368421573e-01,-9.053851526346079481e-04
4.447368421052632081e-01,-1.021677398568954231e-03
4.263157894736842590e-01,-1.160195399819485829e-03
4.078947368421053099e-01,-1.326763538259001507e-03
3.894736842105263608e-01,-1.529117924945921914e-03
3.710526315789473562e-01,-1.777543325431452104e-03
3.526315789473684070e-01,-2.085604702358523355e-03
3.342105263157895134e-01,-2.470643008706474575e-03
3.157894736842105643e-01,-2.953587212971342524e-03
2.973684210526316152e-01,-3.556537273624371664e-03
2.789473684210526661e-01,-4.295200969693269144e-03
2.605263157894737169e-01,-5.161648384898853692e-03
2.421052631578947401e-01,-6.087325476357818843e-03
2.236842105263158187e-01,-6.858102322610193369e-03
2.052631578947368696e-01,-6.888612146497052890e-03
1.868421052631579204e-01,-4.681827016611350700e-03
1.684210526315789991e-01,2.900229727259784340e-03
1.500000000000000222e-01,2.051863043672597087e-02
