# Separation [Bohr],Interaction energy [Hartree]
5.000000000000000000e-01,-7.227925378572308546e-04
4.815789473684211064e-01,-8.068421284406213090e-04
4.631578947368421573e-01,-9.053373345864201838e-04
4.447368421052632081e-01,-1.021616101922973030e-03
4.263157894736842590e-01,-1.160122982895472887e-03
4.078947368421053099e-01,-1.326720012343685084e-03
3.894736842105263608e-01,-1.529069758106516019e-03
3.710526315789473562e-01,-1.777507592180427309e-03
3.526315789473684070e-01,-2.085547043009228219e-03
3.342105263157895134e-01,-2.470520854814139966e-03
3.157894736842105643e-01,-2.953569798194166651e-03
2.973684210526316152e-01,-3.556599520578629381e-03
2.789473684210526661e-01,-4.295430920706166944e-03
2.605263157894737169e-01,-5.162299230846656428e-03
2.421052631578947401e-01,-6.088569576832014718e-03
2.236842105263158187e-01,-6.859406726391625853e-03
2.052631578947368696e-01,-6.886414409450480889e-03
1.868421052631579204e-01,-4.667933425309911399e-03
1.684210526315789991e-01,2.929422870607822915e-03
1.500000000000000222e-01,2.054163225724892072e-02
