1.0,1.2569084818579852,-195.33229077353133,-196.71197335833267,-196.5891992553893,-196.45306986511713,-196.44585992117777
1.0,1.2589699091342537,-195.32935018739792,-196.7109223614449,-196.5883200965322,-196.45303778326394,-196.44710279491056
2.0,1.2183162676069497,-195.326864110888,-196.6670990052496,-196.54518037849496,-196.4115816692968,-196.40639015225773
3.0,1.202441018032655,-195.32207604339234,-196.6453446298499,-196.524517061425,-196.39339026569638,-196.38665871545334
4.0,1.223922430336684,-195.32837819015367,-196.67171051037354,-196.55230062049034,-196.42343895125953,-196.41372670061486
5.0,1.2579933860196055,-195.32828738659288,-196.70415585497688,-196.58628077261247,-196.4586416188203,-196.4458052780917
6.0,1.263553247522749,-195.33098689105134,-196.71084655385354,-196.59454013857408,-196.46717654085853,-196.45086807614302
7.0,1.2473823200154677,-195.3305177545099,-196.69312332035895,-196.5779000745254,-196.44972977080744,-196.43000535326198
8.0,1.2441325960895129,-195.32995629727725,-196.68828215871767,-196.57408889336676,-196.44498351869592,-196.42067736423985
9.0,1.2526917914405176,-195.34551034206027,-196.71151206442514,-196.5982021335008,-196.4685074076336,-196.43889432263643
10.0,1.2667892262487515,-195.33859547583245,-196.7179108893959,-196.6053847020812,-196.47535232748288,-196.4410177558911
11.0,1.2380577882988697,-195.33428091201966,-196.68407468072715,-196.57233870031854,-196.44231931929022,-196.40495738533417
12.0,1.2208575063886284,-195.33574764955856,-196.66780148617696,-196.55660515594718,-196.42657379041512,-196.3886032947036
13.0,1.2501445906874922,-195.3225407905512,-196.6834878692763,-196.57268538123867,-196.44234303178104,-196.40612756614036
14.0,1.2749509024733316,-195.32015081545373,-196.70575105911306,-196.59510171792707,-196.46418477025378,-196.431852164311
15.0,1.277052815344099,-195.32696949847568,-196.71498507186251,-196.60402231381977,-196.47215140401323,-196.4450772464998
16.0,1.2679898625037895,-195.31920641188393,-196.69872494487353,-196.5871962743877,-196.45437700752464,-196.43255205661518
17.0,1.261419543788058,-195.31657636360018,-196.69017867887356,-196.57799590738824,-196.44442162433805,-196.42662064956951
18.0,1.2675363357310416,-195.32749164114165,-196.70799622274998,-196.5950279768727,-196.46118773857228,-196.4463528040156
19.0,1.2776466736467653,-195.32328478774997,-196.71471042181963,-196.60093146139673,-196.46755339420162,-196.45429122080634
20.0,1.2493950291729352,-195.32971174894797,-196.69356464603993,-196.57910677812092,-196.44641696270753,-196.43435754514044
21.0,1.2330870210226337,-195.33088007934802,-196.67895813126884,-196.56396710037066,-196.43164973570174,-196.42119111129165
22.0,1.2358096816789066,-195.32554764405464,-196.67658729922564,-196.56135732573355,-196.42907541585953,-196.42093217969062
23.0,1.243781125248506,-195.3199132335802,-196.67894546678298,-196.5636943588287,-196.43160373116035,-196.42504371834767
24.0,1.2516697318516288,-195.31679375346488,-196.68354323489774,-196.5684634853165,-196.43755306007068,-196.4309155524199
25.0,1.2568743680532042,-195.3089571150805,-196.68056157351123,-196.5658314831337,-196.43657987873848,-196.42880724617982
26.0,1.2472996262667149,-195.31480746206265,-196.67619861475652,-196.56210708832936,-196.4344606207161,-196.42531713606684
27.0,1.249708248028531,-195.31008394400718,-196.67305368017733,-196.5597921920357,-196.43272477404042,-196.42275172435163
28.0,1.233807866593273,-195.31409993733428,-196.66036114444086,-196.54790780392756,-196.4206622864886,-196.40972905870012
29.0,1.2063213068633987,-195.32515812480716,-196.64316773297432,-196.53147943167056,-196.40405591156957,-196.39061706108362
30.0,1.205588866308824,-195.32928394756888,-196.64578535153007,-196.5348728138777,-196.40773501426446,-196.38950864738493
31.0,1.2124963558316253,-195.33064795163014,-196.653624396089,-196.54314430746177,-196.41634952796872,-196.392752782032
32.0,1.2072506754403496,-195.32956290114672,-196.64705679227473,-196.53681357658706,-196.4104945954689,-196.38208946656135
33.0,1.196894928899943,-195.34009315966142,-196.64711983904442,-196.53698808856137,-196.41109436103375,-196.37942700949014
34.0,1.2058907453347705,-195.33858087037595,-196.65487870202753,-196.54447161571073,-196.41874153369218,-196.38623031626508
35.0,1.2344633444241975,-195.32394622833726,-196.66911664819233,-196.55840957276146,-196.43265074238295,-196.40106921359276
36.0,1.2326485604886708,-195.3362372273163,-196.6799906954244,-196.568885787805,-196.44282193916476,-196.4126405542123
37.0,1.224906613618786,-195.3349578280407,-196.671491547176,-196.5598644416595,-196.43310973151426,-196.4046907450688
38.0,1.2131173776059452,-195.33094026480947,-196.65631601364288,-196.54405764241542,-196.41623189184045,-196.38927431975648
39.0,1.2356515561688983,-195.3224456728478,-196.6713485538594,-196.5580972290167,-196.42865825446046,-196.40273014909974
40.0,1.2569618011554053,-195.32314908541423,-196.69512445902365,-196.58011088656963,-196.4485084855287,-196.42279237950567
41.0,1.2584931708029252,-195.3215177655506,-196.69723699710443,-196.58001093635352,-196.44611905678966,-196.41940461042753
42.0,1.2697963121188585,-195.316203006771,-196.7056465631761,-196.58599931888986,-196.44988871589703,-196.42410582159837
43.0,1.2991330383485724,-195.30508228658877,-196.72620922104795,-196.60421532493734,-196.4661997935882,-196.4442359014023
44.0,1.311978319629654,-195.3010021234103,-196.73671457723955,-196.61298044303996,-196.47407313638612,-196.45465849002716
45.0,1.309901119162702,-195.3010921149921,-196.73553885305256,-196.6109932341548,-196.4726957477524,-196.4535536279847
46.0,1.2899898723064815,-195.30178972149008,-196.71586698482068,-196.59177959379656,-196.45557174589038,-196.43484985813242
47.0,1.2671334828430971,-195.30033136138618,-196.6897788055066,-196.56746484422928,-196.43369062175918,-196.41104867104022
